id;idUzytkownika;dataWstawienia;wartoscOceny
189;52;07.11.2015;5
190;33;27.11.2017;1
191;102;01.06.2016;4
192;53;01.03.2014;4
193;113;01.09.2014;4
194;41;01.09.2013;1
195;126;03.11.2015;2
196;102;12.11.2016;5
197;76;30.01.2016;2
198;121;01.09.2012;5
199;13;01.01.2014;5
200;89;02.02.2017;1
201;91;30.01.2016;1
202;3;05.06.2017;2
203;32;11.03.2016;4
204;5;01.11.2015;3
205;73;26.08.2017;5
206;95;01.11.2017;2
207;120;03.11.2015;4
208;6;01.09.2013;1
209;4;02.05.2018;5
210;49;01.06.2016;2
211;109;26.11.2018;2
212;83;01.07.2012;4
213;44;26.08.2017;5
214;108;23.12.2017;5
215;58;02.05.2018;1
216;89;31.10.2018;5
217;127;01.11.2012;4
218;98;01.09.2015;2
219;127;15.03.2017;2
220;93;01.06.2016;5
221;116;09.11.2015;3
222;15;30.01.2016;4
223;63;09.11.2015;1
224;93;01.03.2015;1
225;4;01.06.2016;3
226;122;05.06.2017;4
227;116;01.01.2013;1
228;48;11.03.2018;3
229;105;02.02.2017;2
230;12;15.03.2017;4
231;7;01.06.2016;5
232;118;18.01.2018;3
233;56;22.08.2016;5
234;10;01.11.2015;1
235;94;06.10.2017;4
236;45;28.05.2018;1
237;38;01.09.2014;5
238;82;06.04.2018;2
239;96;13.02.2018;5
240;47;06.11.2015;1
241;110;01.09.2013;1
242;55;26.11.2018;4
243;72;15.03.2017;4
244;93;07.11.2015;3
245;83;02.11.2015;1
246;44;23.12.2016;4
247;29;01.09.2012;3
248;113;01.03.2014;1
249;122;18.01.2018;5
250;94;04.11.2015;5
251;65;17.01.2019;3
252;112;22.08.2016;4
253;47;01.11.2013;1
254;69;19.07.2018;5
255;124;01.05.2019;5
256;115;01.01.2013;3
257;45;28.05.2018;2
258;114;01.03.2015;5
259;68;01.05.2013;5
260;96;02.02.2017;3
261;72;23.06.2018;4
262;7;06.11.2015;3
263;110;19.07.2018;1
264;37;09.09.2018;3
265;93;23.12.2016;2
266;125;01.01.2015;4
267;110;01.09.2013;3
268;88;01.06.2016;5
269;117;26.11.2018;4
270;54;01.05.2013;4
271;9;11.03.2018;1
272;81;06.10.2017;2
273;111;01.07.2014;5
274;69;01.03.2014;2
275;32;16.07.2017;2
276;84;10.03.2019;3
277;127;05.06.2017;4
278;54;01.05.2013;2
279;4;02.10.2016;4
280;0;25.04.2017;3
281;39;01.05.2014;5
282;129;05.06.2017;5
283;128;11.03.2018;4
284;10;01.07.2012;5
285;25;02.05.2018;5
286;129;01.05.2014;1
287;38;05.11.2015;4
288;95;12.11.2016;3
289;118;09.11.2015;5
290;121;01.05.2015;1
291;12;03.11.2015;2
292;82;10.03.2019;1
293;91;01.01.2013;2
294;117;01.07.2013;4
295;26;01.05.2019;3
296;51;01.09.2014;4
297;34;01.07.2013;2
298;58;16.07.2017;1
299;38;01.01.2015;3
300;106;01.07.2015;5
301;65;01.05.2015;3
302;56;01.11.2017;3
303;100;01.06.2016;3
304;115;27.05.2019;3
305;16;02.11.2015;3
306;117;03.11.2015;1
307;80;14.08.2018;4
308;32;01.09.2015;1
309;17;01.07.2013;2
310;107;06.10.2017;5
311;40;01.05.2019;3
312;18;23.12.2017;5
313;77;01.06.2016;4
314;84;01.05.2015;2
315;25;05.06.2017;3
316;115;01.07.2014;5
317;55;06.11.2015;4
318;128;10.03.2019;2
319;108;25.04.2017;2
320;13;31.10.2018;1
321;19;25.04.2017;5
322;56;04.11.2015;4
323;126;05.11.2015;1
324;23;01.03.2014;2
325;15;05.04.2019;3
326;40;01.11.2013;5
327;96;31.10.2018;3
328;111;28.05.2018;4
329;115;01.07.2012;3
330;55;23.12.2016;2
331;5;25.04.2017;3
332;107;13.02.2018;4
333;23;12.11.2016;1
334;95;14.08.2018;4
335;96;20.12.2015;5
336;29;05.06.2017;2
337;15;05.10.2018;5
338;112;05.06.2017;4
339;106;04.11.2015;3
340;83;09.11.2015;2
341;79;26.11.2018;1
342;48;01.05.2013;2
343;55;04.11.2015;2
344;25;30.01.2016;1
345;61;23.12.2017;5
346;0;22.12.2018;5
347;88;01.09.2013;4
348;19;31.10.2018;3
349;21;01.01.2014;2
350;32;12.11.2016;2
351;23;08.11.2015;4
352;90;18.01.2018;1
353;107;01.03.2014;5
354;19;03.11.2015;1
355;30;01.03.2015;4
356;96;23.12.2016;2
357;97;19.07.2018;5
358;74;01.05.2015;2
359;82;01.11.2015;4
360;12;05.11.2015;2
361;75;12.11.2016;3
362;84;30.01.2016;3
363;62;09.11.2015;3
364;52;18.01.2018;3
365;95;01.11.2012;4
366;43;19.07.2018;2
367;85;12.07.2016;1
368;27;11.03.2018;3
369;92;01.03.2014;3
370;42;06.04.2018;2
371;48;09.11.2015;1
372;128;27.11.2017;3
373;115;12.11.2016;1
374;71;05.06.2017;3
375;7;01.07.2013;4
376;81;08.11.2015;4
377;74;05.04.2019;3
378;81;06.04.2018;2
379;84;26.08.2017;1
380;31;22.12.2018;2
381;83;02.05.2018;1
382;52;01.05.2013;3
383;91;07.11.2015;4
384;86;01.11.2013;5
385;41;28.05.2018;2
386;96;11.03.2018;4
387;1;10.03.2019;2
388;15;26.08.2017;3
389;54;18.01.2018;5
390;66;07.11.2015;3
391;16;04.11.2015;3
392;27;01.07.2013;1
393;36;06.04.2018;1
394;84;06.10.2017;2
395;14;20.12.2015;3
396;125;12.11.2016;3
397;90;12.07.2016;4
398;73;05.10.2018;4
399;98;01.11.2014;5
400;52;16.07.2017;2
401;86;05.06.2017;2
402;30;01.01.2015;4
403;6;08.11.2015;5
404;127;01.05.2019;3
405;108;01.07.2014;3
406;31;01.03.2015;5
407;48;22.06.2019;2
408;125;01.05.2015;4
409;84;02.11.2015;5
410;56;09.09.2018;2
411;87;28.05.2018;2
412;10;02.02.2017;5
413;100;01.03.2013;4
414;13;01.03.2014;5
415;28;22.12.2018;4
416;3;26.11.2018;4
417;100;02.02.2017;1
418;39;23.12.2017;5
419;60;05.10.2018;5
420;93;08.11.2015;5
421;56;19.07.2018;3
422;70;11.03.2018;4
423;125;12.07.2016;1
424;56;02.02.2017;4
425;100;22.12.2018;5
426;50;06.04.2018;4
427;42;01.09.2013;4
428;34;22.06.2019;4
429;129;06.11.2015;4
430;116;03.11.2015;1
431;27;01.07.2015;2
432;3;23.12.2017;1
433;54;01.05.2014;3
434;116;05.06.2017;1
435;17;28.05.2018;5
436;16;15.03.2017;5
437;18;01.07.2015;2
438;44;11.03.2016;1
439;121;09.09.2018;4
440;29;01.07.2012;4
441;38;16.07.2017;1
442;94;18.01.2018;4
443;98;06.04.2018;5
444;91;25.04.2017;3
445;103;02.05.2018;4
446;68;23.12.2016;2
447;124;17.01.2019;4
448;67;01.01.2014;3
449;12;30.01.2016;2
450;23;01.01.2014;5
451;57;01.03.2015;4
452;76;26.11.2018;1
453;90;19.07.2018;1
454;91;01.07.2012;1
455;127;02.11.2015;3
456;96;01.11.2017;2
457;81;01.09.2012;2
458;93;17.01.2019;2
459;31;05.11.2015;4
460;19;11.03.2018;3
461;106;01.11.2015;5
462;73;02.05.2018;2
463;93;01.05.2013;3
464;90;02.10.2016;5
465;22;14.08.2018;4
466;91;17.01.2019;5
467;109;01.11.2013;2
468;46;25.04.2017;3
469;88;15.03.2017;5
470;114;30.01.2016;3
471;61;01.03.2015;5
472;98;09.11.2015;4
473;36;30.01.2016;5
474;31;06.10.2017;2
475;112;01.01.2015;4
476;75;26.08.2017;4
477;61;06.04.2018;4
478;108;19.07.2018;5
479;67;01.05.2014;1
480;88;01.01.2015;4
481;103;02.05.2018;2
482;19;16.07.2017;5
483;107;05.10.2018;3
484;110;01.05.2015;5
485;84;10.03.2019;1
486;61;01.09.2012;1
487;32;25.04.2017;2
488;27;04.11.2015;2
489;49;16.07.2017;2
490;15;05.04.2019;4
491;126;23.12.2016;4
492;115;01.01.2014;4
493;89;12.11.2016;1
494;26;12.11.2016;2
495;93;23.12.2017;3
496;116;01.03.2013;2
497;61;22.06.2019;4
498;93;05.06.2017;3
499;7;17.01.2019;5
500;100;05.06.2017;4
501;24;01.07.2012;1
502;28;01.11.2017;1
503;79;22.12.2018;5
504;122;07.11.2015;2
505;39;13.02.2018;4
506;47;02.05.2018;3
507;83;01.07.2013;1
508;94;12.02.2019;1
509;107;22.08.2016;4
510;117;11.03.2016;3
511;62;01.11.2014;4
512;5;17.01.2019;3
513;15;01.03.2014;5
514;35;01.07.2012;2
515;111;06.04.2018;5
516;78;01.05.2014;2
517;120;18.01.2018;5
518;108;01.01.2014;2
519;45;01.01.2014;2
520;74;19.07.2018;3
521;8;01.05.2019;5
522;44;04.11.2015;5
523;8;01.11.2013;1
524;109;16.07.2017;4
525;60;27.11.2017;5
526;75;07.11.2015;3
527;111;30.01.2016;4
528;87;01.07.2013;2
529;53;19.07.2018;2
530;66;28.05.2018;1
531;42;02.11.2015;4
532;103;26.08.2017;3
533;70;26.11.2018;1
534;76;27.11.2017;5
535;95;12.02.2019;2
536;55;12.02.2019;4
537;62;23.06.2018;2
538;49;30.01.2016;4
539;1;21.04.2016;4
540;9;02.02.2017;1
541;7;19.07.2018;4
542;117;01.03.2013;1
543;21;01.11.2014;4
544;53;27.11.2017;4
545;16;27.05.2019;3
546;75;03.11.2015;5
547;61;11.03.2016;1
548;78;23.06.2018;4
549;67;05.10.2018;3
550;76;05.06.2017;3
551;116;23.12.2016;3
552;41;05.10.2018;3
553;22;23.12.2016;4
554;33;01.01.2013;5
555;11;02.02.2017;4
556;47;15.03.2017;4
557;9;01.11.2013;5
558;95;28.05.2018;3
559;33;01.05.2014;5
560;21;13.02.2018;4
561;52;02.02.2017;1
562;129;26.08.2017;1
563;119;01.03.2015;2
564;63;01.07.2013;3
565;97;01.11.2017;1
566;84;01.01.2013;3
567;25;20.12.2015;3
568;96;01.01.2013;3
569;80;01.01.2015;2
570;108;15.03.2017;3
571;81;01.09.2015;1
572;97;01.11.2014;2
573;88;01.03.2013;3
574;51;23.12.2017;3
575;85;22.06.2019;4
576;29;13.02.2018;1
577;61;01.11.2015;5
578;20;10.03.2019;5
579;68;06.10.2017;1
580;23;26.11.2018;1
581;124;12.02.2019;2
582;89;03.11.2015;1
583;90;01.03.2014;5
584;32;01.09.2015;3
585;104;01.09.2015;2
586;75;23.06.2018;5
587;98;10.03.2019;4
588;27;01.03.2015;1
589;3;22.12.2018;1
590;69;27.05.2019;3
591;122;01.09.2015;3
592;97;03.11.2015;5
593;22;31.10.2018;5
594;31;15.03.2017;3
595;33;30.01.2016;5
596;23;22.08.2016;2
597;123;01.09.2015;4
598;118;12.02.2019;2
599;120;09.09.2018;4
600;26;01.01.2014;4
601;10;01.11.2017;4
602;72;28.05.2018;2
603;103;12.02.2019;5
604;47;27.11.2017;3
605;84;05.06.2017;5
606;56;06.10.2017;5
607;33;01.09.2015;2
608;128;11.03.2018;4
609;95;01.06.2016;2
610;57;11.03.2016;1
611;30;08.11.2015;5
612;76;25.04.2017;3
613;59;01.01.2013;4
614;2;01.11.2015;5
615;29;23.12.2017;3
616;90;16.07.2017;1
617;89;01.11.2015;3
618;3;01.03.2015;4
619;96;27.05.2019;2
620;125;22.12.2018;3
621;29;06.11.2015;2
622;49;23.06.2018;4
623;43;12.07.2016;3
624;83;12.02.2019;5
625;23;31.10.2018;4
626;41;27.05.2019;1
627;99;19.07.2018;2
628;6;01.01.2014;5
629;2;01.01.2014;3
630;5;01.07.2015;2
631;98;11.03.2018;4
632;24;06.04.2018;1
633;39;12.11.2016;5
634;117;17.01.2019;4
635;56;28.05.2018;3
636;77;01.01.2015;2
637;36;14.08.2018;5
638;109;19.07.2018;2
639;81;07.11.2015;3
640;99;01.11.2012;4
641;95;26.11.2018;1
642;90;22.06.2019;1
643;26;04.11.2015;5
644;59;01.11.2017;5
645;94;05.10.2018;4
646;42;01.09.2015;2
647;24;27.11.2017;2
648;113;06.04.2018;2
649;42;06.04.2018;2
650;61;23.12.2017;1
651;62;12.11.2016;5
652;57;01.11.2012;2
653;52;06.04.2018;4
654;64;16.07.2017;2
655;24;01.05.2019;2
656;39;23.12.2017;3
657;29;01.07.2012;2
658;109;23.12.2017;2
659;120;01.07.2012;5
660;46;27.05.2019;4
661;102;22.12.2018;4
662;95;28.05.2018;2
663;86;01.11.2017;3
664;4;12.07.2016;5
665;23;27.05.2019;4
666;8;05.06.2017;3
667;114;01.07.2014;1
668;87;21.04.2016;2
669;78;28.05.2018;4
670;46;02.05.2018;5
671;123;01.11.2015;1
672;16;30.01.2016;1
673;83;10.03.2019;5
674;91;12.11.2016;5
675;71;01.07.2015;2
676;117;01.09.2014;2
677;14;06.04.2018;1
678;71;27.11.2017;5
679;87;01.09.2014;2
680;38;08.11.2015;5
681;40;09.11.2015;3
682;125;01.03.2014;3
683;103;22.08.2016;2
684;121;12.02.2019;3
685;29;09.11.2015;5
686;92;15.03.2017;2
687;38;01.05.2019;1
688;44;15.03.2017;2
689;76;01.01.2013;4
690;65;04.11.2015;3
691;116;23.12.2017;5
692;126;01.09.2014;3
693;9;01.09.2015;4
694;102;01.05.2013;3
695;10;01.07.2015;5
696;68;17.01.2019;2
697;110;12.02.2019;2
698;100;23.12.2017;1
699;106;01.11.2012;5
700;3;06.04.2018;5
701;107;06.10.2017;3
702;28;01.09.2015;3
703;113;22.12.2018;2
704;2;10.03.2019;3
705;91;23.06.2018;1
706;40;28.05.2018;1
707;109;01.01.2015;4
708;34;05.10.2018;5
709;98;01.11.2012;4
710;95;09.11.2015;5
711;103;21.04.2016;5
712;5;01.07.2015;4
713;7;27.05.2019;5
714;29;01.07.2014;2
715;97;03.11.2015;3
716;21;23.06.2018;1
717;4;01.07.2013;4
718;92;09.09.2018;2
719;67;02.05.2018;4
720;9;26.11.2018;3
721;118;23.06.2018;1
722;19;01.03.2014;4
723;111;11.03.2018;2
724;59;01.06.2016;5
725;62;09.09.2018;5
726;0;09.11.2015;3
727;57;08.11.2015;3
728;124;01.01.2015;5
729;81;07.11.2015;4
730;27;23.12.2016;5
731;9;02.11.2015;4
732;61;14.08.2018;1
733;43;01.11.2014;2
734;25;01.11.2015;1
735;6;10.03.2019;1
736;109;09.09.2018;4
737;26;26.08.2017;5
738;61;05.11.2015;1
739;69;01.07.2014;2
740;57;01.09.2015;5
741;13;17.01.2019;4
742;28;01.06.2016;5
743;51;23.12.2016;2
744;22;01.05.2014;2
745;23;13.02.2018;5
746;55;22.08.2016;2
747;22;25.04.2017;4
748;111;15.03.2017;5
749;39;11.03.2018;4
750;114;05.10.2018;4
751;107;22.12.2018;1
752;94;08.11.2015;5
753;80;16.07.2017;4
754;104;10.03.2019;5
755;119;20.12.2015;3
756;25;01.01.2013;5
757;53;05.11.2015;4
758;100;01.03.2013;3
759;79;26.08.2017;5
760;100;12.02.2019;3
761;40;05.06.2017;1
762;18;31.10.2018;3
763;10;18.01.2018;5
764;46;17.01.2019;4
765;3;16.07.2017;4
766;68;07.11.2015;2
767;44;25.04.2017;5
768;57;25.04.2017;2
769;91;07.11.2015;4
770;63;03.11.2015;2
771;83;21.04.2016;2
772;97;01.05.2014;3
773;69;07.11.2015;4
774;64;01.01.2015;4
775;107;28.05.2018;3
776;4;28.05.2018;4
777;35;05.06.2017;1
778;84;27.11.2017;4
779;44;19.07.2018;2
780;58;01.09.2015;4
781;129;06.04.2018;2
782;93;22.08.2016;1
783;62;06.11.2015;2
784;59;01.03.2015;1
785;104;08.11.2015;3
786;5;01.03.2015;5
787;48;01.11.2014;4
788;122;12.02.2019;2
789;37;01.03.2015;4
790;104;18.01.2018;5
791;94;01.11.2013;3
792;66;18.01.2018;4
793;88;13.02.2018;2
794;38;17.01.2019;4
795;16;23.12.2017;3
796;119;09.09.2018;5
797;29;30.01.2016;1
798;106;05.10.2018;4
799;58;01.07.2013;2
800;76;09.11.2015;5
801;80;01.11.2014;5
802;52;01.06.2016;2
803;105;02.02.2017;5
804;98;18.01.2018;2
805;54;22.06.2019;4
806;87;06.11.2015;4
807;0;01.07.2012;5
808;112;01.07.2015;5
809;70;01.05.2014;1
810;37;22.12.2018;5
811;82;01.11.2014;3
812;3;23.12.2016;5
813;53;20.12.2015;1
814;111;01.09.2012;3
815;115;05.11.2015;3
816;70;01.06.2016;5
817;77;01.03.2015;1
818;39;01.11.2015;5
819;11;14.08.2018;5
820;25;22.08.2016;3
821;30;25.04.2017;4
822;102;01.09.2013;1
823;39;30.01.2016;1
824;15;15.03.2017;3
825;31;02.05.2018;4
826;67;02.10.2016;2
827;9;11.03.2016;4
828;128;01.05.2019;5
829;114;11.03.2018;5
830;25;01.01.2013;4
831;93;01.11.2013;1
832;74;21.04.2016;5
833;81;22.06.2019;1
834;93;04.11.2015;1
835;20;06.11.2015;4
836;101;06.04.2018;2
837;85;10.03.2019;3
838;79;15.03.2017;2
839;25;26.11.2018;4
840;50;01.07.2014;5
841;63;11.03.2018;4
842;95;01.06.2016;1
843;71;01.01.2015;2
844;7;08.11.2015;5
845;46;01.07.2013;2
846;88;01.03.2013;3
847;82;01.11.2012;5
848;2;11.03.2018;5
849;119;11.03.2016;2
850;82;14.08.2018;1
851;82;06.04.2018;5
852;77;28.05.2018;4
853;124;01.01.2013;5
854;99;01.11.2015;2
855;127;31.10.2018;4
856;70;01.09.2013;3
857;79;06.11.2015;2
858;95;01.09.2013;3
859;75;05.06.2017;4
860;103;01.09.2013;5
861;15;05.11.2015;1
862;74;01.09.2015;4
863;72;01.11.2017;1
864;16;27.11.2017;4
865;59;01.09.2013;2
866;127;01.05.2015;1
867;33;22.12.2018;1
868;44;01.09.2013;5
869;23;01.03.2014;1
870;13;23.12.2016;2
871;121;08.11.2015;5
872;61;31.10.2018;5
873;53;01.07.2012;2
874;72;15.03.2017;5
875;102;22.12.2018;5
876;8;09.09.2018;4
877;7;02.10.2016;1
878;60;04.11.2015;1
879;70;02.11.2015;5
880;120;02.10.2016;4
881;96;09.11.2015;5
882;30;21.04.2016;2
883;93;05.11.2015;4
884;3;01.11.2017;5
885;109;08.11.2015;3
886;24;01.03.2014;3
887;19;22.08.2016;2
888;24;05.06.2017;1
889;97;01.03.2015;4
890;38;25.04.2017;3
891;3;26.08.2017;5
892;119;23.06.2018;2
893;110;01.11.2013;5
894;24;31.10.2018;5
895;116;11.03.2018;5
896;118;22.12.2018;2
897;8;05.10.2018;5
898;32;04.11.2015;1
899;78;01.09.2012;1
900;80;15.03.2017;5
901;90;01.06.2016;2
902;119;31.10.2018;1
903;102;27.11.2017;5
904;27;06.10.2017;2
905;18;01.07.2015;2
906;90;12.02.2019;4
907;76;01.05.2014;4
908;54;12.07.2016;1
909;87;22.08.2016;1
910;120;01.07.2012;2
911;3;30.01.2016;5
912;44;01.03.2014;3
913;45;12.07.2016;5
914;103;01.07.2012;2
915;13;22.12.2018;4
916;6;01.11.2012;5
917;4;11.03.2018;2
918;17;14.08.2018;3
919;92;02.10.2016;4
920;117;04.11.2015;5
921;106;01.07.2014;2
922;22;09.09.2018;1
923;2;17.01.2019;4
924;125;01.01.2013;3
925;46;01.01.2014;4
926;92;14.08.2018;4
927;97;17.01.2019;2
928;67;08.11.2015;5
929;61;01.05.2015;4
930;26;01.09.2014;4
931;64;14.08.2018;1
932;58;02.02.2017;1
933;43;01.09.2012;5
934;46;02.02.2017;4
935;57;26.08.2017;1
936;20;12.02.2019;5
937;17;01.06.2016;1
938;46;12.11.2016;2
939;114;11.03.2016;4
940;108;22.12.2018;4
941;30;23.06.2018;1
942;97;01.07.2015;5
943;67;08.11.2015;4
944;3;11.03.2016;1
945;21;31.10.2018;1
946;51;01.01.2013;1
947;107;01.03.2015;3
948;29;01.07.2013;5
949;59;22.06.2019;2
950;74;01.07.2014;3
951;94;01.11.2014;5
952;115;01.03.2013;1
953;3;18.01.2018;2
954;115;01.03.2013;3
955;25;21.04.2016;5
956;17;01.05.2013;3
957;109;21.04.2016;3
958;120;06.11.2015;4
959;35;02.02.2017;1
960;73;05.06.2017;5
961;13;05.11.2015;3
962;39;01.03.2013;5
963;104;02.02.2017;2
964;22;13.02.2018;3
965;126;01.07.2013;3
966;61;26.11.2018;3
967;28;12.11.2016;2
968;115;01.01.2014;5
969;17;01.01.2014;3
970;113;06.11.2015;1
971;12;09.11.2015;5
972;38;27.11.2017;1
973;48;01.03.2013;2
974;40;19.07.2018;5
975;45;05.11.2015;2
976;68;11.03.2016;5
977;122;23.06.2018;5
978;19;26.08.2017;1
979;2;31.10.2018;4
980;104;01.05.2019;1
981;123;02.05.2018;4
982;28;08.11.2015;3
983;35;03.11.2015;3
984;89;01.11.2015;5
985;89;23.12.2017;1
986;71;22.06.2019;1
987;97;11.03.2018;3
988;14;01.07.2014;5
989;1;01.05.2015;2
990;58;01.05.2015;2
991;73;01.11.2017;3
992;31;01.01.2015;3
993;17;07.11.2015;1
994;54;01.11.2012;4
995;39;06.04.2018;3
996;107;12.02.2019;3
997;30;12.07.2016;1
998;108;19.07.2018;3
999;59;02.10.2016;3
1000;28;23.06.2018;3
1001;65;15.03.2017;1
1002;2;01.03.2015;3
1003;92;27.11.2017;2
1004;102;27.11.2017;4
1005;109;01.06.2016;3
1006;22;01.09.2014;3
1007;50;01.05.2014;4
1008;119;01.01.2015;1
1009;89;13.02.2018;2
1010;100;01.03.2013;3
1011;29;06.10.2017;2
1012;87;22.06.2019;2
1013;93;10.03.2019;2
1014;2;22.06.2019;5
1015;16;16.07.2017;1
1016;127;30.01.2016;4
1017;96;01.05.2015;3
1018;113;28.05.2018;3
1019;121;01.05.2019;4
1020;88;01.05.2014;1
1021;80;09.09.2018;5
1022;108;12.02.2019;3
1023;2;01.01.2013;3
1024;83;05.06.2017;3
1025;37;01.01.2015;5
1026;3;14.08.2018;3
1027;65;26.11.2018;3
1028;57;27.05.2019;5
1029;127;02.02.2017;1
1030;6;01.09.2013;3
1031;108;01.11.2012;4
1032;73;12.02.2019;2
1033;83;01.07.2015;5
1034;12;13.02.2018;5
1035;81;26.08.2017;4
1036;92;01.07.2012;2
1037;45;01.07.2014;1
1038;125;11.03.2018;5
1039;125;01.11.2014;4
1040;120;06.11.2015;4
1041;68;12.07.2016;2
1042;66;01.06.2016;4
1043;53;22.06.2019;2
1044;123;23.12.2016;5
1045;58;12.11.2016;5
1046;26;26.08.2017;3
1047;7;01.03.2013;5
1048;82;23.12.2017;4
1049;76;01.11.2012;4
1050;45;05.11.2015;5
1051;42;01.03.2015;4
1052;78;27.05.2019;2
1053;124;01.03.2013;5
1054;15;26.11.2018;2
1055;37;01.07.2015;2
1056;120;11.03.2016;1
1057;111;26.08.2017;2
1058;11;30.01.2016;2
1059;108;23.06.2018;2
1060;112;22.06.2019;3
1061;96;12.11.2016;2
1062;96;02.11.2015;5
1063;29;01.09.2012;3
1064;117;01.05.2019;1
1065;52;01.09.2013;5
1066;28;01.05.2015;1
